pain_location,pain_type,pain_intensity,nausea,light_sensitivity,eye_pain,neck_pain,stress,duration_hours,headache_type,Remedies,Precautions
left-side,throbbing,severe,1,1,0,0,1,6,Migraine,"Rest in a dark, silent room. Apply cold compress on forehead/neck. Stay hydrated with water/electrolytes. Take prescribed triptan/NSAID if available. Practice slow breathing.","Avoid bright lights and loud noises. Do not skip meals. Limit screen time. Identify triggers like caffeine, stress, lack of sleep. Seek help if worsens or >72 hours."
right-side,throbbing,severe,1,1,0,0,1,6,Migraine,"Rest in a dark, silent room. Apply cold compress on forehead/neck. Stay hydrated with water/electrolytes. Take prescribed triptan/NSAID if available. Practice slow breathing.","Avoid bright lights and loud noises. Do not skip meals. Limit screen time. Identify triggers like caffeine, stress, lack of sleep. Seek help if worsens or >72 hours."
temples,pulsating,moderate,1,1,0,1,1,8,Migraine,"Lie down in a dark, quiet room. Cold compress on temples. Sip water slowly. Take OTC ibuprofen/paracetamol if safe. Gentle temple massage.","Avoid caffeine, alcohol, artificial sweeteners. Do not strain eyes. Take 5-min screen breaks. Consult doctor if >4 migraines/month."
one-sided,pulsating,severe,1,1,0,0,1,9,Migraine,"Dark quiet room. Cold compress. Hydrate. Take prescribed migraine medication. Rest 1-2 hours.","No screen time. Avoid perfume and smoke. Do not drive. Seek emergency if worst headache ever."
one-sided,throbbing,moderate,1,1,0,0,1,7,Migraine,"Dark room rest. Cold compress. Hydrate with electrolytes. OTC pain reliever. Scalp massage. Use blue-light filter on screens.","Avoid delayed meals and dehydration. No loud music or flashing lights. Do not drive during aura. Limit phone use."
both-sides,dull,moderate,0,0,0,1,1,5,Tension,"Apply warm compress on neck and shoulders. Gentle neck rolls (5 reps). Deep breathing for 5 minutes. Maintain upright posture. OTC pain reliever if needed.","Take 5-min break every hour from screens. Avoid jaw clenching. Do not work in poor lighting. Stretch every 30 minutes. See doctor if >7 days."
both-sides,pressing,mild,0,0,0,1,1,4,Tension,"Warm compress. Neck stretches (ear-to-shoulder). Relaxation breathing (4-4-6). Hydrate. Correct sitting posture.","Avoid prolonged sitting. Do not skip sleep. Reduce caffeine gradually. Avoid stressful conversations. Seek evaluation if daily."
temples,pressure,moderate,0,0,0,1,1,6,Tension,"Warm compress to temples and neck. Shoulder rolls. Deep breathing. OTC pain reliever if needed. Stretch every hour.","Avoid teeth clenching. Reduce screen brightness. Do not hunch over phone. Take breaks from reading."
whole-head,tightening,mild,0,0,0,1,1,3,Tension,"Apply warm pack to back of neck. Gentle neck stretches. Hydrate. Relax in quiet room for 15 minutes. Correct posture.","Avoid loud environments. Do not skip meals. Reduce stress triggers. If daily, see doctor."
around-eye,sharp,severe,0,1,1,0,0,2,Cluster,"Sit upright. Apply cold compress to eye area. Breathe oxygen if prescribed. Use triptan injection or nasal spray. Stay still in dark room.","Do not lie down. Avoid alcohol during cluster. OTC painkillers are ineffective. Seek emergency if first episode."
